Year,Month,Domestic Debt,External Debt,Total,Domestic Interest,Foreign Interest,Nominal GDP,Annual GDP growth (%),Date,Domestic Interest Rate (%),External Interest Rate (%),Debt-to-GDP Ratio (%),Domestic Debt Composition,External Debt Composition
2001,4,210581.44,402308.31,612889.75,19225.0,4205.0,1020022.0,3.8,2001-04-01,9.129484535769155,1.0452182804774774,60.085934421022294,34.35877986212039,65.64122013787961
2001,5,202880.88,408100.64,610981.52,20500.0,4445.0,1020022.0,3.8,2001-05-01,10.104451439682242,1.089192116924884,59.898857083474674,33.20573100148757,66.79426899851244
2001,6,211812.6,393978.0,605790.6,23232.0,7803.0,1020022.0,3.8,2001-06-01,10.9681860285932,1.9805674428521391,59.389954334318276,34.96465610394087,65.03534389605915
2001,7,205012.0,393491.36,598503.36,2349.0,1232.0,1020022.0,3.8,2001-07-01,1.1457865881021598,0.31309454926786706,58.67553444925697,34.25411011894737,65.74588988105263
2001,8,214767.0,392335.83,607102.83,3772.0,1617.0,1020022.0,3.8,2001-08-01,1.7563219675275996,0.412146909957217,59.5186015595742,35.37572045249732,64.6242795475027
2001,9,219165.0,392052.74,611217.74,5742.0,2436.0,1020022.0,3.8,2001-09-01,2.619943877900212,0.6213449751683919,59.92201540751082,35.85710715791725,64.14289284208276
2001,10,225952.0,389276.05,615228.05,7844.0,3006.0,1020022.0,3.8,2001-10-01,3.4715337770853982,0.7722026567008169,60.315174574666045,36.7265439213963,63.273456078603694
2001,11,217524.0,386971.92,604495.92,9534.0,3238.0,1020022.0,3.8,2001-11-01,4.38296463838473,0.8367532197168207,59.26302766018773,35.9843619788203,64.01563802117968
2001,12,221984.0,384302.58,606286.58,11985.0,4150.0,1020022.0,3.8,2001-12-01,5.399037768487819,1.0798782563468607,59.43857877575189,36.61370832255598,63.38629167744403
2002,1,222711.0,382302.84,605013.84,14135.0,4998.0,1035374.0,0.5,2002-01-01,6.346790234878386,1.3073405366279778,58.43432807854939,36.810893449974635,63.18910655002538
2002,2,227581.0,381497.47,609078.47,15878.0,5456.0,1035374.0,0.5,2002-02-01,6.976856591718993,1.4301536521330012,58.82690409455906,37.36480785472519,62.63519214527481
2002,3,229167.0,380169.06,609336.06,18044.0,6186.0,1035374.0,0.5,2002-03-01,7.873734001841452,1.62717081710963,58.85178302719597,37.60929559954157,62.39070440045842
2002,4,233149.0,378475.98,611624.98,20423.0,6754.0,1035374.0,0.5,2002-04-01,8.759634396887828,1.7845254010571556,59.07285483313276,38.11960067425631,61.880399325743696
2002,5,231773.0,378594.34,610367.34,21852.0,6941.0,1035374.0,0.5,2002-05-01,9.428190513994297,1.8333607417374491,58.95138761452383,37.97270673099907,62.027293269000936
2002,6,235991.0,377748.0,613739.0,23744.0,6640.0,1035374.0,0.5,2002-06-01,10.06140064663483,1.7577856136895498,59.27703419247538,38.45136124639301,61.54863875360699
2002,7,242102.05,376712.94,618814.99,3105.0,732.0,1035374.0,0.5,2002-07-01,1.2825170212313362,0.19431241199200644,59.76729085335347,39.123494729822234,60.87650527017776
2002,8,247168.98,376868.51,624037.49,5076.0,1170.0,1035374.0,0.5,2002-08-01,2.053655762142968,0.31045310737158693,60.27169795648722,39.60803380578946,60.391966194210546
2002,9,250808.6,375034.19,625842.79,7374.0,1742.0,1035374.0,0.5,2002-09-01,2.9400905710569734,0.46449098414200585,60.446060071046794,40.07533585231524,59.92466414768476
2002,10,251196.67,373140.09,624336.76,9592.0,3938.0,1035374.0,0.5,2002-10-01,3.818521957317348,1.055367703856211,60.30060248760351,40.23416305008214,59.76583694991786
2002,11,255192.66,371334.71,626527.37,11240.0,4868.0,1035374.0,0.5,2002-11-01,4.404515396328406,1.310946665879955,60.51217917390238,40.73128680715098,59.26871319284902
2002,12,259828.23,369729.83,629558.06,13533.0,5634.0,1035374.0,0.5,2002-12-01,5.208440976563631,1.5238153762167364,60.804893690589104,41.27152783970393,58.728472160296064
2003,1,263986.33,369051.09,633037.42,16005.0,6316.0,1131783.0,2.9,2003-01-01,6.062813934342736,1.711416161919478,55.932755660758296,41.7015363799505,58.29846362004951
2003,2,264193.21,367469.4,631662.61,18044.0,6632.0,1131783.0,2.9,2003-02-01,6.829850017719985,1.8047761255767145,55.811282728226175,41.82505119307284,58.174948806927176
2003,3,270716.28,364904.26,635620.54,20862.0,7154.0,1131783.0,2.9,2003-03-01,7.706222913524077,1.9605142455722493,56.160990225158,42.59086403973038,57.40913596026963
2003,4,276083.44,363605.43,639688.88,23329.0,7582.0,1131783.0,2.9,2003-04-01,8.449981643230757,2.0852273850805805,56.5204531257317,43.15901817771164,56.84098025902842
2003,5,280928.98,361731.2,642660.18,25183.0,7639.0,1131783.0,2.9,2003-05-01,8.96418731880207,2.1117890853761025,56.782985784377395,43.71345677586558,56.28654322413441
2003,6,289376.97,407053.0,696429.97,27567.0,8459.0,1131783.0,2.9,2003-06-01,9.526328235450112,2.07810776483652,61.53387796070447,41.55148147917873,58.44851852082127
2003,7,292277.47,398532.85,690810.32,2124.98,910.0,1131783.0,2.9,2003-07-01,0.7270420125095514,0.22833751345717174,61.03734726533266,42.309366484276026,57.69063351572397
2003,8,295494.51,397991.28,693485.79,4262.5,1310.0,1131783.0,2.9,2003-08-01,1.4424971888648626,0.3291529402352735,61.273741521121984,42.61003098563851,57.3899690143615
2003,9,303252.05,411067.0,714319.05,6504.0,1832.0,1131783.0,2.9,2003-09-01,2.1447505466162555,0.44566944074810194,63.11448837807247,42.45330570422278,57.546694295777215
2003,10,301918.96,409359.85,711278.82,8768.0,2526.0,1131783.0,2.9,2003-10-01,2.904090554630951,0.6170610039064652,62.84586532930783,42.44734294211095,57.55265565197063
2003,11,303548.41,406592.25,710140.65,10684.0,2635.0,1131783.0,2.9,2003-11-01,3.5197021786409626,0.6480694110623112,62.74530099851297,42.744829492580095,57.25517191559165
2003,12,301190.58,410149.0,711339.58,12701.0,3382.0,1131783.0,2.9,2003-12-01,4.216931352899549,0.8245783849284041,62.85123384959837,42.34132170741856,57.65867829258144
2004,1,299701.26,409158.26,708859.52,14301.0,4092.0,1274328.0,5.1,2004-01-01,4.77175171035317,1.0001020143159276,55.626143347709544,42.279358821336,57.720641178664
2004,2,300907.92,407417.62,708325.54,16410.0,4498.0,1274328.0,5.1,2004-02-01,5.453495541094433,1.104026870511884,55.584240478118666,42.48158551504439,57.518414484955606
2004,3,302023.58,412036.08,714059.66,18710.0,4974.0,1274328.0,5.1,2004-03-01,6.194880545419665,1.2071758376111141,56.034212541825966,42.29668708634234,57.70331291365767
2004,4,301177.37,409950.33,711127.7,20309.0,5608.0,1274328.0,5.1,2004-04-01,6.743202518834665,1.367970602682525,55.804133629646365,42.352079661641646,57.64792033835836
2004,5,299347.29,408547.54,707894.83,21857.0,5662.0,1274328.0,5.1,2004-05-01,7.301552654777667,1.385885226478172,55.55044148759188,42.28697220461407,57.713027795385926
2004,6,306234.66,443157.43,749392.09,23281.0,6419.0,1274328.0,5.1,2004-06-01,7.602339983331737,1.4484694524923118,58.80684486254716,40.86441051172557,59.13558948827442
2004,7,303462.12,444611.0,748073.12,1733.82,1108.0,1274328.0,5.1,2004-07-01,0.5713464336174808,0.24920660982296886,58.70334168283205,40.565836665806145,59.434163334193855
2004,8,301678.34,444460.66,746138.99,3661.0,1536.0,1274328.0,5.1,2004-08-01,1.21354420075369,0.3455873912440305,58.55156521711835,40.431922744045316,59.568078596187554
2004,9,299745.58,454438.56,754184.14,5228.0,2184.0,1274328.0,5.1,2004-09-01,1.7441458185972247,0.48059302009935073,59.18289011934134,39.744349436995584,60.255650563004416
2004,10,301541.3,454539.95,756081.25,6643.0,2796.0,1274328.0,5.1,2004-10-01,2.203014976721265,0.6151274491934097,59.33176152450547,39.882129070123085,60.117870929876915
2004,11,302543.91,454664.42,757208.33,8144.0,3100.0,1274328.0,5.1,2004-11-01,2.691840665376474,0.6818215509364027,59.42020657162049,39.955174555462165,60.04482544453783
2004,12,295374.44,439992.95,735367.39,9777.0,4121.0,1274328.0,5.1,2004-12-01,3.3100358988408067,0.9366059160720643,57.70628833392972,40.16692119023663,59.83307880976337
2005,1,291222.66,446226.13,737448.8,11984.01,5190.43,1415823.0,5.7,2005-01-01,4.115067831603489,1.1631837875563227,52.08622829266088,39.490559887005034,60.50943875696861
2005,2,292227.33,445544.58,737771.91,13855.0,5612.0,1415823.0,5.7,2005-02-01,4.741171881493767,1.2595821500061788,52.10904964815517,39.609441080509555,60.390558919490445
2005,3,296330.22,424857.08,721187.3,16368.0,6196.0,1415823.0,5.7,2005-03-01,5.523567592937366,1.4583727779704176,50.937673706388445,41.089217738581915,58.910782261418085
2005,4,307160.62,424345.69,731506.31,18406.0,6724.0,1415823.0,5.7,2005-04-01,5.992304612485806,1.5845571566898677,51.66650845479979,41.990153167646625,58.00984683235336
2005,5,304975.65,423476.45,728452.1,20500.0,7011.0,1415823.0,5.7,2005-05-01,6.721848121317225,1.6555820282332112,51.450788693219415,41.8662599778352,58.133740022164815
